,PestControlEquiv,Ehrlich(L=5),Ehrlich(L=15),Ehrlich(L=64),Sum (normalized per row)
DirectedEvolution,0.968 +/- 0.03,1.000 +/- 0.00,0.448 +/- 0.16,0.114 +/- 0.07,2.23 +/- 0.27
HillClimbing,0.640 +/- 0.12,0.500 +/- 0.25,0.392 +/- 0.20,0.089 +/- 0.07,0.56 +/- 0.64
CMAES,0.816 +/- 0.06,0.750 +/- 0.18,0.312 +/- 0.13,0.077 +/- 0.08,1.24 +/- 0.45
GeneticAlgorithm,0.712 +/- 0.02,0.950 +/- 0.11,0.336 +/- 0.10,0.083 +/- 0.08,1.50 +/- 0.31
Hvarfner's VanillaBO,0.928 +/- 0.08,0.650 +/- 0.14,0.328 +/- 0.18,0.079 +/- 0.08,1.26 +/- 0.47
RandomLineBO,0.624 +/- 0.11,0.700 +/- 0.27,0.472 +/- 0.14,0.084 +/- 0.08,1.04 +/- 0.60
SAASBO,0.792 +/- 0.05,0.600 +/- 0.14,0.328 +/- 0.21,0.075 +/- 0.06,0.92 +/- 0.46
Turbo,0.896 +/- 0.04,0.850 +/- 0.14,0.480 +/- 0.12,0.124 +/- 0.11,1.86 +/- 0.40
BAxUS,0.712 +/- 0.08,0.550 +/- 0.11,0.400 +/- 0.11,0.077 +/- 0.08,0.79 +/- 0.39
Bounce,1.000 +/- 0.00,0.900 +/- 0.14,0.416 +/- 0.13,0.076 +/- 0.06,2.00 +/- 0.33
ProbRep,0.896 +/- 0.04,0.950 +/- 0.11,0.328 +/- 0.08,0.076 +/- 0.08,1.80 +/- 0.31
